sample,gwc,moist_soil,truesoil,location,rep,plot,treatment,timepoint,pH
377,0.296296296,9.98,7.022962963,Burera,3,21,Napier grass,3,4.56
378,0.281803543,10.04,7.210692432,Burera,4,22,Desmodium + Brachiaria ,3,4.7
379,0.272938444,9.98,7.256074332,Burera,4,23,Maize monocrop,3,4.78
380,0.266836086,9.99,7.324307497,Burera,4,24,Desmodium,3,4.67
381,0.280503145,10.02,7.209358491,Burera,4,25,Napier grass,3,4.64
382,0.269861286,9.98,7.286784363,Burera,4,26,Desmodium + Napier,3,4.65
383,0.245391705,10,7.546082949,Burera,4,27,Brachiaria cv. Mulato II ,3,4.65
384,0.250970246,9.97,7.467826649,Burera,4,28,Desmodium + maize ,3,4.75
401,0.130560928,10.04,8.729168279,Rubona,1,1,Brachiaria cv. Mulato II ,4,5.4
402,0.133076181,9.96,8.634561234,Rubona,1,2,Napier grass,4,5.35
403,0.127310062,10.01,8.735626283,Rubona,1,3,Desmodium ,4,5.26
404,0.124877089,10.02,8.768731563,Rubona,1,4,Maize monocrop ,4,5.35
405,0.146169355,10.02,8.555383065,Rubona,1,5,Desmodium + maize ,4,5.44
406,0.144941634,10.05,8.593336576,Rubona,1,6,Desmodium + Brachiaria ,4,5.39
407,0.108782435,10.04,8.947824351,Rubona,1,7,Desmodium + Napier,4,5.33
408,0.125124131,10.03,8.775004965,Rubona,2,8,Desmodium + maize ,4,5.25
409,0.124242424,10.02,8.775090909,Rubona,2,9,Desmodium + Brachiaria ,4,5.15
410,0.110258869,10.02,8.915206136,Rubona,2,10,Napier grass,4,5.29
411,0.120574163,10.05,8.838229665,Rubona,2,11,Desmodium + Napier,4,5.26
412,0.120812183,10.03,8.818253807,Rubona,2,12,Desmodium,4,5.35
413,0.129719264,9.97,8.676698935,Rubona,2,13,Brachiaria cv. Mulato II ,4,5.26
414,0.12371134,10.01,8.771649485,Rubona,2,14,Maize monocrop,4,5.31
415,0.138634047,10.05,8.656727829,Rubona,3,15,Brachiaria cv. Mulato II ,4,5.2
416,0.148619958,10.03,8.539341826,Rubona,3,16,Desmodium,4,5.15
417,0.141187926,10.02,8.605296981,Rubona,3,17,Desmodium + maize ,4,5.31
418,0.147325933,9.97,8.501160444,Rubona,3,18,Desmodium + Brachiaria ,4,5.19
419,0.143451143,9.99,8.556923077,Rubona,3,19,Maize monocrop,4,5.25
420,0.175858481,10.05,8.282622268,Rubona,3,20,Desmodium + Napier,4,5.52
421,0.138339921,10.05,8.659683794,Rubona,3,21,Napier grass,4,5.59
422,0.119725221,10.04,8.837958783,Rubona,4,22,Desmodium + Brachiaria ,4,5.42
423,0.090558767,9.96,9.058034682,Rubona,4,23,Maize monocrop,4,5.45
424,0.113432836,10.03,8.892268657,Rubona,4,24,Desmodium,4,5.13
425,0.103448276,10.02,8.983448276,Rubona,4,25,Napier grass,4,5.22
426,0.107892108,9.98,8.903236763,Rubona,4,26,Desmodium + Napier,4,5.35
427,0.123420797,10.01,8.774557823,Rubona,4,27,Brachiaria cv. Mulato II ,4,5.44
428,0.115459883,9.96,8.810019569,Rubona,4,28,Desmodium + maize ,4,5.37
429,0.147031103,9.98,8.512629595,Karama,1,1,Brachiaria cv. Mulato II ,4,5.9
430,0.122823098,9.99,8.76299725,Karama,1,2,Napier grass ,4,5.61
431,0.11942959,9.98,8.788092692,Karama,1,3,Desmodium ,4,5.54
432,0.087565674,9.99,9.115218914,Karama,1,4,Maize monocrop ,4,5.94
433,0.112115732,9.95,8.834448463,Karama,1,5,Desmodium + maize ,4,5.87
434,0.120218579,10.03,8.82420765,Karama,1,6,Desmodium + Brachiaria ,4,5.76
435,0.120073327,10.05,8.843263061,Karama,1,7,Desmodium + Napier,4,5.89
436,0.118566176,10,8.814338235,Karama,2,8,Desmodium + maize ,4,5.94
437,0.139925373,10.03,8.626548507,Karama,2,9,Desmodium + Brachiaria ,4,6.04
438,0.106884058,9.99,8.922228261,Karama,2,10,Napier grass,4,5.81
439,0.110607434,9.97,8.86724388,Karama,2,11,Desmodium + Napier,4,5.84
440,0.126940639,10.03,8.756785388,Karama,2,12,Desmodium,4,5.61
441,0.12010919,10,8.798908098,Karama,2,13,Brachiaria cv. Mulato II ,4,6.1
442,0.102096627,10.03,9.00597083,Karama,2,14,Maize monocrop,4,6.38
443,0.140035907,9.95,8.556642729,Karama,3,15,Brachiaria cv. Mulato II ,4,6
444,0.15048976,10.04,8.529082814,Karama,3,16,Desmodium,4,5.63
445,0.119113573,10.03,8.835290859,Karama,3,17,Desmodium + maize ,4,6.03
446,0.1228223,10.02,8.789320557,Karama,3,18,Desmodium + Brachiaria ,4,6.01
447,0.112554113,10.02,8.892207792,Karama,3,19,Maize monocrop,4,6.13
448,0.127399651,9.96,8.691099476,Karama,3,20,Desmodium + Napier,4,6.06
449,0.143114311,9.97,8.543150315,Karama,3,21,Napier grass,4,5.99
450,0.124783362,9.97,8.725909879,Karama,4,22,Desmodium + Brachiaria ,4,5.8
451,0.111716621,9.99,8.873950954,Karama,4,23,Maize monocrop,4,6.05
452,0.129411765,10.02,8.723294118,Karama,4,24,Desmodium,4,6.21
453,0.122429907,10.04,8.810803738,Karama,4,25,Napier grass,4,6.06
454,0.117481203,10.03,8.851663534,Karama,4,26,Desmodium + Napier,4,6.02
455,0.142600897,9.98,8.556843049,Karama,4,27,Brachiaria cv. Mulato II ,4,6.11
456,0.127957932,10.05,8.764022787,Karama,4,28,Desmodium + maize ,4,6.12
